name,full-name,urlslug,id,align,eye,hair,sex,gsm,alive,appearances,first appearance,year,
valerie kameya, (dakotaverse),\/wiki\/valerie_kameya_(dakotaverse),secret identity,good characters,,black hair,female characters,homosexual characters,living characters,34,"1994, january",1994,
augustus freeman, (dakotaverse),\/wiki\/augustus_freeman_(dakotaverse),secret identity,good characters,brown eyes,black hair,male characters,,living characters,34,"1993, may",1993,
courtney mason, (new earth),\/wiki\/courtney_mason_(new_earth),public identity,good characters,blue eyes,blond hair,female characters,bisexual characters,deceased characters,34,"1993, july",1993,
sebastian ives, (new earth),\/wiki\/sebastian_ives_(new_earth),public identity,good characters,,blond hair,male characters,,living characters,34,"1991, october",1991,
bonnie baxter, (new earth),\/wiki\/bonnie_baxter_(new_earth),public identity,good characters,blue eyes,brown hair,female characters,,living characters,34,"1990, february",1990,
oswald loomis, (new earth),\/wiki\/oswald_loomis_(new_earth),public identity,bad characters,blue eyes,brown hair,male characters,,living characters,34,"1988, april",1988,
jack wheeler, (new earth),\/wiki\/jack_wheeler_(new_earth),secret identity,good characters,blue eyes,blond hair,male characters,,living characters,34,"1987, september",1987,
mikhail arkadin, (new earth),\/wiki\/mikhail_arkadin_(new_earth),secret identity,good characters,,brown hair,male characters,,living characters,34,"1987, october",1987,
natasha ulyanov, (new earth),\/wiki\/natasha_ulyanov_(new_earth),,bad characters,blue eyes,blond hair,female characters,,living characters,34,"1986, august",1986,
onyx adams, (new earth),\/wiki\/onyx_adams_(new_earth),public identity,,brown eyes,,female characters,,living characters,34,"1985, january",1985,
nimbus, (new earth),\/wiki\/nimbus_(new_earth),secret identity,good characters,white eyes,,male characters,,living characters,34,"1981, june",1981,
diane meade, (new earth),\/wiki\/diane_meade_(new_earth),public identity,good characters,blue eyes,blond hair,female characters,,living characters,34,"1957, august",1957,
brian kent, (new earth),\/wiki\/brian_kent_(new_earth),secret identity,good characters,blue eyes,blond hair,male characters,,deceased characters,34,"1955, september",1955,
hath-set, (new earth),\/wiki\/hath-set_(new_earth),secret identity,bad characters,,,,,deceased characters,34,"1940, january",1940,
king standish, (new earth),\/wiki\/king_standish_(new_earth),secret identity,good characters,blue eyes,blond hair,male characters,,living characters,34,"1940, march",1940,
monitor bob, (new earth),\/wiki\/monitor_bob,,neutral characters,red eyes,black hair,male characters,,deceased characters,33,"2007, july",2007,
darla aquista, (new earth),\/wiki\/darla_aquista_(new_earth),secret identity,good characters,blue eyes,black hair,female characters,,living characters,33,"2004, february",2004,
charlie the owl, (new earth),\/wiki\/charlie_the_owl_(new_earth),public identity,good characters,amber eyes,,male characters,,living characters,33,"1999, february",1999,
bloodwynd, (new earth),\/wiki\/bloodwynd_(new_earth),public identity,good characters,blue eyes,black hair,male characters,,living characters,33,"1993, july",1993,
lester buchinsky, (new earth),\/wiki\/lester_buchinsky_(new_earth),secret identity,bad characters,,,male characters,,deceased characters,33,"1992, may",1992,
patricia trayce, (new earth),\/wiki\/patricia_trayce_(new_earth),secret identity,good characters,blue eyes,blond hair,female characters,,living characters,33,"1992, january",1992,
jonathan fox, (new earth),\/wiki\/jonathan_fox_(new_earth),secret identity,good characters,blue eyes,black hair,male characters,,living characters,33,1990,1990,
jewelee, (new earth),\/wiki\/jewelee_(new_earth),secret identity,bad characters,blue eyes,blond hair,female characters,,living characters,33,"1988, july",1988,
simon lagrieve, (new earth),\/wiki\/simon_lagrieve_(new_earth),,neutral characters,,grey hair,male characters,,living characters,33,"1987, may",1987,
felicity smoak, (new earth),\/wiki\/felicity_smoak_(new_earth),public identity,neutral characters,blue eyes,black hair,female characters,,living characters,33,"1984, may",1984,
isuma yasunari, (new earth),\/wiki\/isuma_yasunari_(new_earth),secret identity,good characters,brown eyes,black hair,male characters,,deceased characters,33,"1982, june",1982,
may bennett, (new earth),\/wiki\/may_bennett_(new_earth),,neutral characters,blue eyes,brown hair,female characters,,living characters,33,"1982, july",1982,
ubu, (new earth),\/wiki\/ubu_(new_earth),public identity,bad characters,,,male characters,,living characters,33,"1971, june",1971,
sensei, (new earth),\/wiki\/sensei_(new_earth),secret identity,bad characters,,white hair,male characters,,living characters,33,"1968, december",1968,
leroy johnson, (new earth),\/wiki\/leroy_johnson_(new_earth),,good characters,,,male characters,,deceased characters,33,"1965, april",1965,
peter merkel, (new earth),\/wiki\/peter_merkel_(new_earth),secret identity,bad characters,,red hair,male characters,,deceased characters,33,"1942, december",1942,
rod reilly, (new earth),\/wiki\/rod_reilly_(new_earth),secret identity,good characters,blue eyes,brown hair,male characters,,deceased characters,33,"1941, august",1941,
wendy kuttler, (new earth),\/wiki\/wendy_kuttler_(new_earth),secret identity,good characters,green eyes,black hair,female characters,,living characters,32,"2006, may",2006,
aleksandr creote, (new earth),\/wiki\/aleksandr_creote_(new_earth),secret identity,good characters,,brown hair,male characters,homosexual characters,living characters,32,"2003, august",2003,
joshua saunders, (new earth),\/wiki\/joshua_saunders_(new_earth),,good characters,red eyes,,male characters,,deceased characters,32,"1996, june",1996,
albrecht krieger, (new earth),\/wiki\/albrecht_krieger_(new_earth),secret identity,bad characters,blue eyes,blond hair,male characters,,living characters,32,"1995, july",1995,
tawky tawny, (new earth),\/wiki\/tawky_tawny_(new_earth),public identity,good characters,orange eyes,orange hair,male characters,,living characters,32,"1995, june",1995,
gerri brauer, (dakotaverse),\/wiki\/gerri_brauer_(dakotaverse),secret identity,good characters,blue eyes,blond hair,female characters,homosexual characters,living characters,32,"1994, january",1994,
harry chawney, (dakotaverse),\/wiki\/harry_chawney_(dakotaverse),secret identity,good characters,white eyes,grey hair,male characters,,living characters,32,"1994, january",1994,
william macintyre, (new earth),\/wiki\/william_macintyre_(new_earth),secret identity,good characters,white eyes,white hair,male characters,,deceased characters,32,"1994, august",1994,
aaron helzinger, (new earth),\/wiki\/aaron_helzinger_(new_earth),secret identity,bad characters,black eyes,,male characters,,living characters,32,"1992, august",1992,
joseph martin, (new earth),\/wiki\/joseph_martin_(new_earth),secret identity,bad characters,black eyes,,male characters,,living characters,32,"1991, october",1991,
liri lee, (new earth),\/wiki\/liri_lee_(new_earth),secret identity,good characters,,blond hair,female characters,,living characters,32,"1991, september",1991,
atlan, (new earth),\/wiki\/atlan_(new_earth),public identity,good characters,blue eyes,blond hair,male characters,,living characters,32,"1990, july",1990,
corky baxter, (new earth),\/wiki\/corky_baxter_(new_earth),public identity,good characters,blue eyes,brown hair,male characters,,deceased characters,32,"1990, march",1990,
deadline, (new earth),\/wiki\/deadline_(new_earth),secret identity,bad characters,,,male characters,,living characters,32,"1989, october",1989,
chester runk, (new earth),\/wiki\/chester_runk_(new_earth),public identity,,brown eyes,black hair,male characters,,living characters,32,"1988, february",1988,
takeo yakata, (new earth),\/wiki\/takeo_yakata_(new_earth),secret identity,good characters,,,male characters,,deceased characters,32,"1988, january",1988,
boris ulyanov, (new earth),\/wiki\/boris_ulyanov_(new_earth),,bad characters,blue eyes,blond hair,male characters,,living characters,32,"1986, august",1986,
michelle carter, (new earth),\/wiki\/michelle_carter_(new_earth),secret identity,good characters,blue eyes,blond hair,female characters,,living characters,32,"1986, july",1986,
marcia king, (new earth),\/wiki\/marcia_king_(new_earth),public identity,good characters,auburn hair,,female characters,,living characters,32,"1984, april",1984,
marla bloom, (new earth),\/wiki\/marla_bloom_(new_earth),public identity,good characters,blue eyes,,female characters,,deceased characters,32,"1984, june",1984,
william vickers, (new earth),\/wiki\/william_vickers_(new_earth),public identity,good characters,blue eyes,blond hair,male characters,,deceased characters,32,"1984, september",1984,
prince topaz, (new earth),\/wiki\/prince_topaz_(new_earth),public identity,good characters,yellow eyes,blond hair,male characters,,living characters,32,"1983, august",1983,
ulysses hazard, (new earth),\/wiki\/ulysses_hazard_(new_earth),secret identity,good characters,brown eyes,black hair,male characters,,living characters,32,"1977, august",1977,
eric needham, (new earth),\/wiki\/eric_needham_(new_earth),secret identity,bad characters,brown eyes,black hair,male characters,,living characters,32,"1976, september",1976,
steven smith, (new earth),\/wiki\/steven_smith_(new_earth),public identity,good characters,blue eyes,blond hair,male characters,,living characters,32,"1972, october",1972,
ira quimby, (new earth),\/wiki\/ira_quimby_(new_earth),public identity,bad characters,blue eyes,brown hair,male characters,,living characters,32,"1963, november",1963,
simon hurt, (new earth),\/wiki\/simon_hurt_(new_earth),secret identity,bad characters,brown eyes,brown hair,male characters,,living characters,32,"1963, june",1963,
amos fortune, (new earth),\/wiki\/amos_fortune_(new_earth),secret identity,bad characters,black eyes,black hair,male characters,,living characters,32,"1961, september",1961,
william tockman, (new earth),\/wiki\/william_tockman_(new_earth),,bad characters,blue eyes,black hair,male characters,,deceased characters,32,"1960, august",1960,
elinore lane, (new earth),\/wiki\/elinore_lane_(new_earth),public identity,good characters,,black hair,female characters,,living characters,32,"1959, november",1959,
julian day, (new earth),\/wiki\/julian_day_(new_earth),secret identity,bad characters,black eyes,,male characters,,living characters,32,"1958, september",1958,
space cabby, (new earth),\/wiki\/space_cabby_(new_earth),secret identity,,brown eyes,brown hair,male characters,,living characters,32,"1954, september",1954,
mortimer drake, (new earth),\/wiki\/mortimer_drake_(new_earth),secret identity,bad characters,brown eyes,brown hair,male characters,bisexual characters,living characters,32,"1943, november",1943,
tweedledum and tweedledee, (new earth),\/wiki\/tweedledum_and_tweedledee_(new_earth),secret identity,bad characters,green eyes,,male characters,,living characters,32,"1943, april",1943,
hades, (new earth),\/wiki\/hades_(new_earth),public identity,neutral characters,black eyes,black hair,male characters,,living characters,32,"1941, december",1941,
santa claus, (new earth),\/wiki\/santa_claus,public identity,good characters,blue eyes,white hair,male characters,,living characters,32,1940,1940,
jacob kane, (new earth),\/wiki\/jacob_kane_(new_earth),public identity,good characters,,,male characters,,living characters,31,"2009, august",2009,
slushh, (new earth),\/wiki\/slushh_(new_earth),public identity,bad characters,,,male characters,,living characters,31,"2007, august",2007,
andre twist, (new earth),\/wiki\/andre_twist_(new_earth),secret identity,good characters,blue eyes,blond hair,male characters,,deceased characters,31,"2006, june",2006,
marcus driver, (new earth),\/wiki\/marcus_driver_(new_earth),public identity,good characters,blue eyes,blond hair,male characters,,living characters,31,"2003, february",2003,
